x,y,event
2.0,48.0,Takeaway
24.0,31.0,Missed Shot
5.0,60.0,Hit
72.0,22.0,Giveaway
41.0,39.0,Shot
29.0,43.0,Blocked Shot
36.0,57.0,Missed Shot
196.0,56.0,Hit
176.0,62.0,Shot
140.0,5.0,Takeaway
17.0,45.0,Shot
168.0,20.0,Faceoff
181.0,80.0,Hit
135.0,67.0,Missed Shot
166.0,81.0,Hit
133.0,75.0,Missed Shot
15.0,16.0,Hit
171.0,79.0,Hit
195.0,52.0,Hit
99.0,42.0,Faceoff
3.0,58.0,Hit
43.0,49.0,Missed Shot
20.0,38.0,Shot
55.0,42.0,Penalty
30.0,64.0,Faceoff
32.0,43.0,Blocked Shot
28.0,77.0,Hit
21.0,76.0,Hit
99.0,42.0,Faceoff
32.0,36.0,Giveaway
56.0,38.0,Shot
35.0,46.0,Blocked Shot
30.0,64.0,Faceoff
77.0,64.0,Giveaway
49.0,46.0,Penalty
30.0,64.0,Faceoff
158.0,17.0,Missed Shot
61.0,43.0,Shot
49.0,73.0,Missed Shot
45.0,37.0,Blocked Shot
72.0,81.0,Takeaway
45.0,20.0,Shot
52.0,66.0,Shot
16.0,71.0,Takeaway
16.0,45.0,Blocked Shot
79.0,20.0,Faceoff
154.0,42.0,Missed Shot
167.0,65.0,Blocked Shot
131.0,41.0,Takeaway
168.0,20.0,Faceoff
183.0,9.0,Giveaway
173.0,41.0,Blocked Shot
168.0,54.0,Blocked Shot
168.0,20.0,Faceoff
62.0,57.0,Missed Shot
152.0,20.0,Hit
15.0,60.0,Blocked Shot
44.0,82.0,Hit
112.0,43.0,Shot
168.0,20.0,Faceoff
154.0,32.0,Shot
119.0,20.0,Faceoff
2.0,26.0,Hit
157.0,44.0,Shot
184.0,12.0,Shot
168.0,20.0,Faceoff
8.0,73.0,Hit
23.0,37.0,Blocked Shot
3.0,24.0,Takeaway
3.0,53.0,Hit
165.0,81.0,Shot
148.0,5.0,Hit
166.0,75.0,Shot
106.0,7.0,Penalty
168.0,64.0,Faceoff
150.0,3.0,Takeaway
136.0,44.0,Goal
99.0,42.0,Faceoff
167.0,51.0,Goal
99.0,42.0,Faceoff
79.0,20.0,Faceoff
53.0,53.0,Takeaway
27.0,37.0,Hit
158.0,26.0,Shot
168.0,20.0,Faceoff
168.0,20.0,Faceoff
135.0,22.0,Missed Shot
196.0,52.0,Hit
2.0,27.0,Hit
13.0,20.0,Giveaway
62.0,3.0,Penalty
30.0,64.0,Faceoff
59.0,43.0,Missed Shot
63.0,42.0,Missed Shot
99.0,42.0,Faceoff
2.0,33.0,Hit
53.0,22.0,Blocked Shot
59.0,16.0,Shot
47.0,55.0,Missed Shot
176.0,39.0,Missed Shot
165.0,49.0,Penalty
168.0,64.0,Faceoff
160.0,18.0,Shot
168.0,20.0,Faceoff
151.0,73.0,Shot
168.0,64.0,Faceoff
174.0,36.0,Giveaway
135.0,26.0,Missed Shot
181.0,61.0,Takeaway
168.0,20.0,Faceoff
134.0,43.0,Shot
168.0,20.0,Faceoff
153.0,21.0,Shot
135.0,16.0,Shot
168.0,20.0,Faceoff
137.0,69.0,Shot
99.0,42.0,Faceoff
66.0,59.0,Giveaway
65.0,42.0,Giveaway
30.0,20.0,Faceoff
19.0,47.0,Blocked Shot
166.0,82.0,Hit
138.0,33.0,Shot
196.0,47.0,Penalty
30.0,20.0,Faceoff
21.0,29.0,Goal
99.0,42.0,Faceoff
164.0,42.0,Shot
181.0,34.0,Blocked Shot
178.0,43.0,Blocked Shot
120.0,82.0,Hit
189.0,25.0,Penalty
130.0,15.0,Penalty
119.0,64.0,Faceoff
147.0,51.0,Takeaway
91.0,57.0,Takeaway
64.0,68.0,Takeaway
173.0,60.0,Shot
168.0,64.0,Faceoff
181.0,63.0,Takeaway
184.0,31.0,Shot
167.0,43.0,Shot
24.0,48.0,Blocked Shot
66.0,33.0,Shot
45.0,64.0,Missed Shot
167.0,33.0,Shot
168.0,20.0,Faceoff
180.0,13.0,Shot
139.0,70.0,Blocked Shot
133.0,47.0,Shot
176.0,42.0,Penalty
168.0,20.0,Faceoff
170.0,43.0,Blocked Shot
186.0,34.0,Missed Shot
177.0,62.0,Missed Shot
177.0,42.0,Missed Shot
185.0,37.0,Goal
99.0,42.0,Faceoff
168.0,45.0,Blocked Shot
129.0,83.0,Hit
150.0,47.0,Shot
166.0,28.0,Penalty
30.0,64.0,Faceoff
48.0,64.0,Penalty
168.0,20.0,Faceoff
17.0,60.0,Blocked Shot
193.0,62.0,Hit
15.0,39.0,Goal
99.0,42.0,Faceoff
13.0,75.0,Hit
178.0,34.0,Blocked Shot
88.0,83.0,Hit
1.0,51.0,Hit
153.0,43.0,Missed Shot
29.0,62.0,Shot
30.0,64.0,Faceoff
196.0,61.0,Hit
195.0,36.0,Hit
