x,y,group
168,64,A
79,64,A
192,56,A
178,22,A
168,20,A
171,52,A
174,36,A
150,8,A
168,20,A
30,64,A
30,64,A
134,7,A
57,80,A
128,42,A
194,70,A
81,12,A
109,26,A
168,20,A
19,42,A
168,64,A
158,34,A
23,44,A
151,73,A
168,64,A
151,16,A
99,42,A
184,36,A
139,3,A
143,2,A
58,43,A
14,78,A
64,79,A
56,68,A
23,37,A
32,37,A
22,43,A
30,20,A
64,76,A
53,21,A
40,12,A
28,36,A
179,3,A
194,14,A
138,59,A
83,2,A
65,3,A
65,13,A
130,9,A
172,39,A
167,25,A
158,2,A
180,81,A
30,20,A
149,32,A
49,19,A
30,20,A
178,59,A
28,49,A
30,64,A
64,13,A
30,20,A
165,73,A
184,19,A
186,6,A
159,62,A
148,44,A
99,42,A
106,1,A
183,4,A
168,64,A
182,20,A
99,42,A
197,42,A
159,82,A
168,64,A
119,20,A
148,24,A
113,78,A
49,80,A
64,35,A
9,9,A
54,42,A
174,84,A
154,37,A
168,64,A
171,31,A
119,20,A
198,33,A
167,44,A
167,43,A
30,84,A
168,20,A
170,58,A
154,60,A
198,58,A
154,43,A
187,49,A
177,44,A
166,46,A
181,51,A
153,72,A
168,64,A
137,74,A
49,65,A
30,64,A
32,43,A
30,64,A
198,40,A
63,11,A
168,20,A
154,80,A
168,64,A
37,26,A
175,32,A
99,42,A
98,84,A
154,55,A
29,43,A
30,64,A
162,12,A
181,39,A
30,64,A
49,72,A
30,64,A
44,17,A
30,20,A
41,13,A
32,29,A
30,52,A
30,64,A
168,64,A
147,71,A
168,20,A
177,24,A
185,8,A
184,6,A
165,33,A
168,20,A
137,14,A
158,0,A
168,20,A
183,4,A
183,81,A
111,84,A
30,20,A
52,80,A
34,83,A
22,44,A
21,45,A
15,48,A
35,83,A
30,64,A
57,53,A
24,33,A
59,40,A
53,12,A
47,59,A
99,42,A
153,27,A
188,78,A
30,0,A
54,41,A
30,20,A
165,48,A
23,51,A
19,48,A
99,42,A
185,7,A
186,78,A
168,20,A
119,64,A
37,39,A
30,20,A
99,42,A
21,43,A
18,47,A
24,49,A
30,64,A
135,39,A
184,6,A
147,45,A
35,28,A
30,20,A
40,82,A
99,46,A
168,20,A
156,25,A
159,18,A
164,68,A
99,42,A
162,56,A
178,50,A
168,64,A
168,20,A
135,41,A
168,20,A
30,20,A
144,73,A
168,64,A
168,20,A
164,69,A
135,40,A
182,29,A
30,46,A
19,37,A
34,46,A
153,48,A
92,35,A
143,45,A
27,41,A
164,40,A
173,41,A
20,11,A
43,6,A
43,83,A
58,63,A
34,44,A
112,60,A
135,72,A
59,38,A
31,27,A
3,43,A
46,59,A
175,37,A
119,20,A
64,62,A
30,64,A
38,14,A
30,20,A
51,24,A
138,74,A
23,1,A
71,56,A
124,11,A
99,42,A
94,1,A
168,64,A
142,81,A
176,32,A
136,35,A
168,20,A
190,11,A
197,23,A
126,12,A
135,25,A
168,20,A
128,23,A
176,46,A
177,51,A
55,4,A
49,31,A
58,15,A
177,74,A
3,23,A
14,36,A
20,47,A
8,74,A
21,39,A
30,20,A
59,58,A
30,64,A
193,15,A
175,41,A
169,24,A
99,42,A
0,61,A
132,80,A
150,24,A
180,41,A
99,42,A
20,44,A
166,1,A
138,18,A
137,65,A
168,64,A
189,7,A
7,67,A
166,82,A
173,82,A
